date,is_home,opponent,gf,ga,result,home_team,away_team,home_score,away_score,year
2015-10-09,True,Luxembourg,4,0,W,Spain,Luxembourg,4,0,2015
2015-10-12,False,Ukraine,1,0,W,Ukraine,Spain,0,1,2015
2015-11-13,True,England,2,0,W,Spain,England,2,0,2015
2016-03-24,False,Italy,1,1,D,Italy,Spain,1,1,2016
2016-03-27,False,Romania,0,0,D,Romania,Spain,0,0,2016
2016-05-29,False,Bosnia and Herzegovina,3,1,W,Bosnia and Herzegovina,Spain,1,3,2016
2016-06-01,True,South Korea,6,1,W,Spain,South Korea,6,1,2016
2016-06-07,True,Georgia,0,1,L,Spain,Georgia,0,1,2016
2016-06-13,True,Czech Republic,1,0,W,Spain,Czech Republic,1,0,2016
2016-06-17,True,Turkey,3,0,W,Spain,Turkey,3,0,2016
2016-06-21,False,Croatia,1,2,L,Croatia,Spain,2,1,2016
2016-06-27,False,Italy,0,2,L,Italy,Spain,2,0,2016
2016-09-01,False,Belgium,2,0,W,Belgium,Spain,0,2,2016
2016-09-05,True,Liechtenstein,8,0,W,Spain,Liechtenstein,8,0,2016
2016-10-06,False,Italy,1,1,D,Italy,Spain,1,1,2016
2016-10-09,False,Albania,2,0,W,Albania,Spain,0,2,2016
2016-11-12,True,North Macedonia,4,0,W,Spain,North Macedonia,4,0,2016
2016-11-15,False,England,2,2,D,England,Spain,2,2,2016
2017-03-24,True,Israel,4,1,W,Spain,Israel,4,1,2017
2017-03-28,False,France,2,0,W,France,Spain,0,2,2017
2017-06-07,True,Colombia,2,2,D,Spain,Colombia,2,2,2017
2017-06-11,False,North Macedonia,2,1,W,North Macedonia,Spain,1,2,2017
2017-09-02,True,Italy,3,0,W,Spain,Italy,3,0,2017
2017-09-05,False,Liechtenstein,8,0,W,Liechtenstein,Spain,0,8,2017
2017-10-06,True,Albania,3,0,W,Spain,Albania,3,0,2017
2017-10-09,False,Israel,1,0,W,Israel,Spain,0,1,2017
2017-11-11,True,Costa Rica,5,0,W,Spain,Costa Rica,5,0,2017
2017-11-14,False,Russia,3,3,D,Russia,Spain,3,3,2017
2018-03-23,False,Germany,1,1,D,Germany,Spain,1,1,2018
2018-03-27,True,Argentina,6,1,W,Spain,Argentina,6,1,2018
2018-06-03,True,Switzerland,1,1,D,Spain,Switzerland,1,1,2018
2018-06-09,False,Tunisia,1,0,W,Tunisia,Spain,0,1,2018
2018-06-15,False,Portugal,3,3,D,Portugal,Spain,3,3,2018
2018-06-20,False,Iran,1,0,W,Iran,Spain,0,1,2018
2018-06-25,True,Morocco,2,2,D,Spain,Morocco,2,2,2018
2018-07-01,False,Russia,1,1,D,Russia,Spain,1,1,2018
2018-09-08,False,England,2,1,W,England,Spain,1,2,2018
2018-09-11,True,Croatia,6,0,W,Spain,Croatia,6,0,2018
2018-10-11,False,Wales,4,1,W,Wales,Spain,1,4,2018
2018-10-15,True,England,2,3,L,Spain,England,2,3,2018
2018-11-15,False,Croatia,2,3,L,Croatia,Spain,3,2,2018
2018-11-18,True,Bosnia and Herzegovina,1,0,W,Spain,Bosnia and Herzegovina,1,0,2018
2019-03-23,True,Norway,2,1,W,Spain,Norway,2,1,2019
2019-03-26,False,Malta,2,0,W,Malta,Spain,0,2,2019
2019-06-07,False,Faroe Islands,4,1,W,Faroe Islands,Spain,1,4,2019
2019-06-10,True,Sweden,3,0,W,Spain,Sweden,3,0,2019
2019-09-05,False,Romania,2,1,W,Romania,Spain,1,2,2019
2019-09-08,True,Faroe Islands,4,0,W,Spain,Faroe Islands,4,0,2019
2019-10-12,False,Norway,1,1,D,Norway,Spain,1,1,2019
2019-10-15,False,Sweden,1,1,D,Sweden,Spain,1,1,2019
2019-11-15,True,Malta,7,0,W,Spain,Malta,7,0,2019
2019-11-18,True,Romania,5,0,W,Spain,Romania,5,0,2019
2020-09-03,False,Germany,1,1,D,Germany,Spain,1,1,2020
2020-09-06,True,Ukraine,4,0,W,Spain,Ukraine,4,0,2020
2020-10-07,False,Portugal,0,0,D,Portugal,Spain,0,0,2020
2020-10-10,True,Switzerland,1,0,W,Spain,Switzerland,1,0,2020
2020-10-13,False,Ukraine,0,1,L,Ukraine,Spain,1,0,2020
2020-11-11,False,Netherlands,1,1,D,Netherlands,Spain,1,1,2020
2020-11-14,False,Switzerland,1,1,D,Switzerland,Spain,1,1,2020
2020-11-17,True,Germany,6,0,W,Spain,Germany,6,0,2020
2021-03-25,True,Greece,1,1,D,Spain,Greece,1,1,2021
2021-03-28,False,Georgia,2,1,W,Georgia,Spain,1,2,2021
2021-03-31,True,Kosovo,3,1,W,Spain,Kosovo,3,1,2021
2021-06-04,True,Portugal,0,0,D,Spain,Portugal,0,0,2021
2021-06-08,True,Lithuania,4,0,W,Spain,Lithuania,4,0,2021
2021-06-14,True,Sweden,0,0,D,Spain,Sweden,0,0,2021
2021-06-19,True,Poland,1,1,D,Spain,Poland,1,1,2021
2021-06-23,True,Slovakia,5,0,W,Spain,Slovakia,5,0,2021
2021-06-28,False,Croatia,5,3,W,Croatia,Spain,3,5,2021
2021-07-02,False,Switzerland,1,1,D,Switzerland,Spain,1,1,2021
2021-07-06,False,Italy,1,1,D,Italy,Spain,1,1,2021
2021-09-02,False,Sweden,1,2,L,Sweden,Spain,2,1,2021
2021-09-05,True,Georgia,4,0,W,Spain,Georgia,4,0,2021
2021-09-08,False,Kosovo,2,0,W,Kosovo,Spain,0,2,2021
2021-10-06,False,Italy,2,1,W,Italy,Spain,1,2,2021
2021-10-10,True,France,1,2,L,Spain,France,1,2,2021
2021-11-11,False,Greece,1,0,W,Greece,Spain,0,1,2021
2021-11-14,True,Sweden,1,0,W,Spain,Sweden,1,0,2021
2022-03-26,True,Albania,2,1,W,Spain,Albania,2,1,2022
2022-03-29,True,Iceland,5,0,W,Spain,Iceland,5,0,2022
2022-06-02,True,Portugal,1,1,D,Spain,Portugal,1,1,2022
2022-06-05,False,Czech Republic,2,2,D,Czech Republic,Spain,2,2,2022
2022-06-09,False,Switzerland,1,0,W,Switzerland,Spain,0,1,2022
2022-06-12,True,Czech Republic,2,0,W,Spain,Czech Republic,2,0,2022
2022-09-24,True,Switzerland,1,2,L,Spain,Switzerland,1,2,2022
2022-09-27,False,Portugal,1,0,W,Portugal,Spain,0,1,2022
2022-11-17,False,Jordan,3,1,W,Jordan,Spain,1,3,2022
2022-11-23,True,Costa Rica,7,0,W,Spain,Costa Rica,7,0,2022
2022-11-27,True,Germany,1,1,D,Spain,Germany,1,1,2022
2022-12-01,False,Japan,1,2,L,Japan,Spain,2,1,2022
