date,is_home,opponent,gf,ga,result,home_team,away_team,home_score,away_score,year
1965-11-10,False,Republic of Ireland,1,0,W,Republic of Ireland,Spain,0,1,1965
1965-12-08,True,England,0,2,L,Spain,England,0,2,1965
1966-06-23,True,Uruguay,1,1,D,Spain,Uruguay,1,1,1966
1966-07-13,False,Argentina,1,2,L,Argentina,Spain,2,1,1966
1966-07-15,True,Switzerland,2,1,W,Spain,Switzerland,2,1,1966
1966-07-20,False,Germany,1,2,L,Germany,Spain,2,1,1966
1966-10-23,False,Republic of Ireland,0,0,D,Republic of Ireland,Spain,0,0,1966
1966-12-07,True,Republic of Ireland,2,0,W,Spain,Republic of Ireland,2,0,1966
1967-02-01,False,Turkey,0,0,D,Turkey,Spain,0,0,1967
1967-05-24,False,England,0,2,L,England,Spain,2,0,1967
1967-05-31,True,Turkey,2,0,W,Spain,Turkey,2,0,1967
1967-10-01,False,Czechoslovakia,0,1,L,Czechoslovakia,Spain,1,0,1967
1967-10-22,True,Czechoslovakia,2,1,W,Spain,Czechoslovakia,2,1,1967
1968-02-28,True,Sweden,3,1,W,Spain,Sweden,3,1,1968
1968-04-03,False,England,0,1,L,England,Spain,1,0,1968
1968-05-02,False,Sweden,1,1,D,Sweden,Spain,1,1,1968
1968-05-08,True,England,1,2,L,Spain,England,1,2,1968
1968-10-17,False,France,3,1,W,France,Spain,1,3,1968
1968-10-27,False,Yugoslavia,0,0,D,Yugoslavia,Spain,0,0,1968
1968-12-11,True,Belgium,1,1,D,Spain,Belgium,1,1,1968
1969-02-23,False,Belgium,1,2,L,Belgium,Spain,2,1,1969
1969-03-26,True,Switzerland,1,0,W,Spain,Switzerland,1,0,1969
1969-04-23,True,Mexico,0,0,D,Spain,Mexico,0,0,1969
1969-04-30,True,Yugoslavia,2,1,W,Spain,Yugoslavia,2,1,1969
1969-06-25,False,Finland,0,2,L,Finland,Spain,2,0,1969
1969-10-15,True,Finland,6,0,W,Spain,Finland,6,0,1969
1970-02-11,True,Germany,2,0,W,Spain,Germany,2,0,1970
1970-02-21,True,Italy,2,2,D,Spain,Italy,2,2,1970
1970-04-22,False,Switzerland,1,0,W,Switzerland,Spain,0,1,1970
1970-10-28,True,Greece,2,1,W,Spain,Greece,2,1,1970
1970-11-11,True,Northern Ireland,3,0,W,Spain,Northern Ireland,3,0,1970
1971-02-20,False,Italy,2,1,W,Italy,Spain,1,2,1971
1971-03-17,True,France,2,2,D,Spain,France,2,2,1971
1971-05-09,False,Cyprus,2,0,W,Cyprus,Spain,0,2,1971
1971-05-30,False,Russia,1,2,L,Russia,Spain,2,1,1971
1971-10-27,True,Russia,0,0,D,Spain,Russia,0,0,1971
1971-11-24,True,Cyprus,7,0,W,Spain,Cyprus,7,0,1971
1972-01-12,True,Hungary,1,0,W,Spain,Hungary,1,0,1972
1972-02-16,False,Northern Ireland,1,1,D,Northern Ireland,Spain,1,1,1972
1972-04-12,False,Greece,0,0,D,Greece,Spain,0,0,1972
1972-05-23,True,Uruguay,2,0,W,Spain,Uruguay,2,0,1972
1972-10-11,True,Argentina,1,0,W,Spain,Argentina,1,0,1972
1972-10-19,True,Yugoslavia,2,2,D,Spain,Yugoslavia,2,2,1972
1973-01-17,False,Greece,3,2,W,Greece,Spain,2,3,1973
1973-02-21,True,Greece,3,1,W,Spain,Greece,3,1,1973
1973-05-02,False,Netherlands,2,3,L,Netherlands,Spain,3,2,1973
1973-10-17,False,Turkey,0,0,D,Turkey,Spain,0,0,1973
1973-10-21,False,Yugoslavia,0,0,D,Yugoslavia,Spain,0,0,1973
1973-11-24,False,Germany,1,2,L,Germany,Spain,2,1,1973
1974-02-13,False,Yugoslavia,0,1,L,Yugoslavia,Spain,1,0,1974
1974-02-23,True,Germany,1,0,W,Spain,Germany,1,0,1974
1974-09-25,False,Denmark,2,1,W,Denmark,Spain,1,2,1974
1974-10-12,False,Argentina,1,1,D,Argentina,Spain,1,1,1974
1974-11-20,False,Scotland,2,1,W,Scotland,Spain,1,2,1974
1975-02-05,True,Scotland,1,1,D,Spain,Scotland,1,1,1975
1975-04-17,True,Romania,1,1,D,Spain,Romania,1,1,1975
1975-10-12,True,Denmark,2,0,W,Spain,Denmark,2,0,1975
1975-11-16,False,Romania,2,2,D,Romania,Spain,2,2,1975
1976-04-24,True,Germany,1,1,D,Spain,Germany,1,1,1976
1976-05-22,False,Germany,0,2,L,Germany,Spain,2,0,1976
1976-10-10,True,Yugoslavia,1,0,W,Spain,Yugoslavia,1,0,1976
1977-02-09,False,Republic of Ireland,1,0,W,Republic of Ireland,Spain,0,1,1977
1977-03-27,True,Hungary,1,1,D,Spain,Hungary,1,1,1977
1977-04-16,False,Romania,0,1,L,Romania,Spain,1,0,1977
1977-09-21,False,Switzerland,2,1,W,Switzerland,Spain,1,2,1977
1977-10-26,True,Romania,2,0,W,Spain,Romania,2,0,1977
1977-11-30,False,Yugoslavia,1,0,W,Yugoslavia,Spain,0,1,1977
1978-01-25,True,Italy,2,1,W,Spain,Italy,2,1,1978
1978-03-29,True,Norway,3,0,W,Spain,Norway,3,0,1978
1978-04-26,True,Mexico,2,0,W,Spain,Mexico,2,0,1978
1978-05-24,False,Uruguay,0,0,D,Uruguay,Spain,0,0,1978
1978-06-03,False,Austria,1,2,L,Austria,Spain,2,1,1978
1978-06-07,False,Brazil,0,0,D,Brazil,Spain,0,0,1978
1978-06-11,True,Sweden,1,0,W,Spain,Sweden,1,0,1978
1978-10-04,False,Yugoslavia,2,1,W,Yugoslavia,Spain,1,2,1978
1978-11-08,False,France,0,1,L,France,Spain,1,0,1978
1978-11-15,True,Romania,1,0,W,Spain,Romania,1,0,1978
1978-12-13,True,Cyprus,5,0,W,Spain,Cyprus,5,0,1978
1978-12-21,False,Italy,0,1,L,Italy,Spain,1,0,1978
1979-03-14,False,Czechoslovakia,0,1,L,Czechoslovakia,Spain,1,0,1979
1979-04-04,False,Romania,2,2,D,Romania,Spain,2,2,1979
1979-09-26,True,Portugal,1,1,D,Spain,Portugal,1,1,1979
1979-10-10,True,Yugoslavia,0,1,L,Spain,Yugoslavia,0,1,1979
1979-11-14,True,Denmark,1,3,L,Spain,Denmark,1,3,1979
1979-12-09,False,Cyprus,3,1,W,Cyprus,Spain,1,3,1979
1980-01-23,True,Netherlands,1,0,W,Spain,Netherlands,1,0,1980
1980-02-13,True,German DR,0,1,L,Spain,German DR,0,1,1980
1980-03-26,True,England,0,2,L,Spain,England,0,2,1980
1980-04-16,True,Czechoslovakia,2,2,D,Spain,Czechoslovakia,2,2,1980
1980-05-21,False,Denmark,2,2,D,Denmark,Spain,2,2,1980
1980-06-12,False,Italy,0,0,D,Italy,Spain,0,0,1980
1980-06-15,False,Belgium,1,2,L,Belgium,Spain,2,1,1980
1980-06-18,True,England,1,2,L,Spain,England,1,2,1980
1980-09-24,False,Hungary,2,2,D,Hungary,Spain,2,2,1980
1980-10-15,False,German DR,0,0,D,German DR,Spain,0,0,1980
1980-11-12,True,Poland,1,2,L,Spain,Poland,1,2,1980
1981-02-18,True,France,1,0,W,Spain,France,1,0,1981
1981-03-25,False,England,2,1,W,England,Spain,1,2,1981
1981-04-15,True,Hungary,0,3,L,Spain,Hungary,0,3,1981
1981-06-20,False,Portugal,0,2,L,Portugal,Spain,2,0,1981
1981-06-28,False,Venezuela,2,0,W,Venezuela,Spain,0,2,1981
1981-07-02,False,Colombia,1,1,D,Colombia,Spain,1,1,1981
1981-07-05,False,Chile,1,1,D,Chile,Spain,1,1,1981
1981-07-08,False,Brazil,0,1,L,Brazil,Spain,1,0,1981
1981-09-23,False,Austria,0,0,D,Austria,Spain,0,0,1981
1981-10-14,True,Luxembourg,3,0,W,Spain,Luxembourg,3,0,1981
1981-11-18,False,Poland,3,2,W,Poland,Spain,2,3,1981
1981-12-16,True,Belgium,2,0,W,Spain,Belgium,2,0,1981
1982-02-24,True,Scotland,3,0,W,Spain,Scotland,3,0,1982
1982-03-24,True,Wales,1,1,D,Spain,Wales,1,1,1982
1982-04-28,True,Switzerland,2,0,W,Spain,Switzerland,2,0,1982
1982-06-16,True,Honduras,1,1,D,Spain,Honduras,1,1,1982
1982-06-20,True,Yugoslavia,2,1,W,Spain,Yugoslavia,2,1,1982
1982-06-25,True,Northern Ireland,0,1,L,Spain,Northern Ireland,0,1,1982
1982-07-02,True,Germany,1,2,L,Spain,Germany,1,2,1982
1982-07-05,True,England,0,0,D,Spain,England,0,0,1982
1982-10-27,True,Iceland,1,0,W,Spain,Iceland,1,0,1982
1982-11-17,False,Republic of Ireland,3,3,D,Republic of Ireland,Spain,3,3,1982
1983-02-16,True,Netherlands,1,0,W,Spain,Netherlands,1,0,1983
1983-04-27,True,Republic of Ireland,2,0,W,Spain,Republic of Ireland,2,0,1983
1983-05-15,False,Malta,3,2,W,Malta,Spain,2,3,1983
1983-05-29,False,Iceland,1,0,W,Iceland,Spain,0,1,1983
1983-10-05,False,France,1,1,D,France,Spain,1,1,1983
1983-11-16,False,Netherlands,1,2,L,Netherlands,Spain,2,1,1983
1983-12-21,True,Malta,12,1,W,Spain,Malta,12,1,1983
1984-01-18,True,Hungary,0,1,L,Spain,Hungary,0,1,1984
1984-02-29,False,Luxembourg,1,0,W,Luxembourg,Spain,0,1,1984
1984-04-11,True,Denmark,2,1,W,Spain,Denmark,2,1,1984
1984-05-26,False,Switzerland,4,0,W,Switzerland,Spain,0,4,1984
1984-05-31,False,Hungary,1,1,D,Hungary,Spain,1,1,1984
1984-06-07,True,Yugoslavia,0,1,L,Spain,Yugoslavia,0,1,1984
1984-06-14,False,Romania,1,1,D,Romania,Spain,1,1,1984
1984-06-17,False,Portugal,1,1,D,Portugal,Spain,1,1,1984
1984-06-20,False,Germany,1,0,W,Germany,Spain,0,1,1984
1984-06-24,False,Denmark,1,1,D,Denmark,Spain,1,1,1984
1984-06-27,False,France,0,2,L,France,Spain,2,0,1984
1984-10-17,True,Wales,3,0,W,Spain,Wales,3,0,1984
1984-11-14,False,Scotland,1,3,L,Scotland,Spain,3,1,1984
1985-01-23,True,Finland,3,1,W,Spain,Finland,3,1,1985
1985-02-27,True,Scotland,1,0,W,Spain,Scotland,1,0,1985
1985-03-27,True,Northern Ireland,0,0,D,Spain,Northern Ireland,0,0,1985
1985-04-30,False,Wales,0,3,L,Wales,Spain,3,0,1985
1985-05-26,False,Republic of Ireland,0,0,D,Republic of Ireland,Spain,0,0,1985
1985-06-12,False,Iceland,2,1,W,Iceland,Spain,1,2,1985
1985-09-25,True,Iceland,2,1,W,Spain,Iceland,2,1,1985
1985-11-20,True,Austria,0,0,D,Spain,Austria,0,0,1985
1985-12-18,True,Bulgaria,2,0,W,Spain,Bulgaria,2,0,1985
1986-01-22,True,Russia,2,0,W,Spain,Russia,2,0,1986
1986-02-19,True,Belgium,3,0,W,Spain,Belgium,3,0,1986
1986-03-26,True,Poland,3,0,W,Spain,Poland,3,0,1986
1986-06-01,True,Brazil,0,1,L,Spain,Brazil,0,1,1986
1986-06-07,False,Northern Ireland,2,1,W,Northern Ireland,Spain,1,2,1986
1986-06-12,False,Algeria,3,0,W,Algeria,Spain,0,3,1986
1986-06-18,False,Denmark,5,1,W,Denmark,Spain,1,5,1986
1986-06-22,True,Belgium,1,1,D,Spain,Belgium,1,1,1986
1986-09-24,True,Greece,3,1,W,Spain,Greece,3,1,1986
1986-10-15,False,Germany,2,2,D,Germany,Spain,2,2,1986
1986-11-12,True,Romania,1,0,W,Spain,Romania,1,0,1986
1986-12-03,False,Albania,2,1,W,Albania,Spain,1,2,1986
1987-01-21,True,Netherlands,1,1,D,Spain,Netherlands,1,1,1987
1987-02-18,True,England,2,4,L,Spain,England,2,4,1987
1987-04-01,False,Austria,3,2,W,Austria,Spain,2,3,1987
1987-04-29,False,Romania,1,3,L,Romania,Spain,3,1,1987
1987-09-23,True,Luxembourg,2,0,W,Spain,Luxembourg,2,0,1987
1987-10-14,True,Austria,2,0,W,Spain,Austria,2,0,1987
1987-11-18,True,Albania,5,0,W,Spain,Albania,5,0,1987
1988-01-27,True,German DR,0,0,D,Spain,German DR,0,0,1988
1988-02-24,True,Czechoslovakia,1,2,L,Spain,Czechoslovakia,1,2,1988
1988-03-23,False,France,1,2,L,France,Spain,2,1,1988
1988-04-27,True,Scotland,0,0,D,Spain,Scotland,0,0,1988
1988-06-01,True,Sweden,1,3,L,Spain,Sweden,1,3,1988
1988-06-05,False,Switzerland,1,1,D,Switzerland,Spain,1,1,1988
1988-06-11,False,Denmark,3,2,W,Denmark,Spain,2,3,1988
1988-06-14,False,Italy,0,1,L,Italy,Spain,1,0,1988
1988-06-17,False,Germany,0,2,L,Germany,Spain,2,0,1988
1988-09-14,True,Yugoslavia,1,2,L,Spain,Yugoslavia,1,2,1988
1988-10-12,True,Argentina,1,1,D,Spain,Argentina,1,1,1988
1988-11-16,True,Republic of Ireland,2,0,W,Spain,Republic of Ireland,2,0,1988
1988-12-21,True,Northern Ireland,4,0,W,Spain,Northern Ireland,4,0,1988
1989-01-22,False,Malta,2,0,W,Malta,Spain,0,2,1989
1989-02-08,False,Northern Ireland,2,0,W,Northern Ireland,Spain,0,2,1989
1989-03-23,True,Malta,4,0,W,Spain,Malta,4,0,1989
1989-04-26,False,Republic of Ireland,0,1,L,Republic of Ireland,Spain,1,0,1989
1989-09-20,True,Poland,1,0,W,Spain,Poland,1,0,1989
1989-10-11,False,Hungary,2,2,D,Hungary,Spain,2,2,1989
1989-11-15,True,Hungary,4,0,W,Spain,Hungary,4,0,1989
1989-12-13,True,Switzerland,2,1,W,Spain,Switzerland,2,1,1989
1990-02-21,True,Czechoslovakia,1,0,W,Spain,Czechoslovakia,1,0,1990
1990-03-28,True,Austria,2,3,L,Spain,Austria,2,3,1990
1990-05-26,False,Yugoslavia,1,0,W,Yugoslavia,Spain,0,1,1990
1990-06-13,False,Uruguay,0,0,D,Uruguay,Spain,0,0,1990
1990-06-17,False,South Korea,3,1,W,South Korea,Spain,1,3,1990
1990-06-21,False,Belgium,2,1,W,Belgium,Spain,1,2,1990
1990-06-26,True,Yugoslavia,1,2,L,Spain,Yugoslavia,1,2,1990
1990-09-12,True,Brazil,3,0,W,Spain,Brazil,3,0,1990
1990-10-10,True,Iceland,2,1,W,Spain,Iceland,2,1,1990
1990-11-14,False,Czechoslovakia,2,3,L,Czechoslovakia,Spain,3,2,1990
1990-12-19,True,Albania,9,0,W,Spain,Albania,9,0,1990
1991-01-16,True,Portugal,1,1,D,Spain,Portugal,1,1,1991
1991-02-20,False,France,1,3,L,France,Spain,3,1,1991
1991-03-27,True,Hungary,2,4,L,Spain,Hungary,2,4,1991
1991-04-17,True,Romania,0,2,L,Spain,Romania,0,2,1991
1991-09-04,True,Uruguay,2,1,W,Spain,Uruguay,2,1,1991
1991-09-25,False,Iceland,0,2,L,Iceland,Spain,2,0,1991
1991-10-12,True,France,1,2,L,Spain,France,1,2,1991
1991-11-13,True,Czechoslovakia,2,1,W,Spain,Czechoslovakia,2,1,1991
1992-01-15,False,Portugal,0,0,D,Portugal,Spain,0,0,1992
1992-02-19,True,Russia,1,1,D,Spain,Russia,1,1,1992
1992-03-11,True,United States,2,0,W,Spain,United States,2,0,1992
1992-04-22,True,Albania,3,0,W,Spain,Albania,3,0,1992
1992-09-09,True,England,1,0,W,Spain,England,1,0,1992
1992-09-23,False,Latvia,0,0,D,Latvia,Spain,0,0,1992
1992-10-14,False,Northern Ireland,0,0,D,Northern Ireland,Spain,0,0,1992
1992-11-18,True,Republic of Ireland,0,0,D,Spain,Republic of Ireland,0,0,1992
1992-12-16,True,Latvia,5,0,W,Spain,Latvia,5,0,1992
1993-01-27,True,Mexico,1,1,D,Spain,Mexico,1,1,1993
1993-02-24,True,Lithuania,5,0,W,Spain,Lithuania,5,0,1993
1993-03-31,False,Denmark,0,1,L,Denmark,Spain,1,0,1993
1993-04-28,True,Northern Ireland,3,1,W,Spain,Northern Ireland,3,1,1993
1993-06-02,False,Lithuania,2,0,W,Lithuania,Spain,0,2,1993
1993-09-08,True,Chile,2,0,W,Spain,Chile,2,0,1993
1993-09-22,False,Albania,5,1,W,Albania,Spain,1,5,1993
1993-10-13,False,Republic of Ireland,3,1,W,Republic of Ireland,Spain,1,3,1993
1993-11-17,True,Denmark,1,0,W,Spain,Denmark,1,0,1993
1994-01-19,True,Portugal,2,2,D,Spain,Portugal,2,2,1994
1994-02-09,True,Poland,1,1,D,Spain,Poland,1,1,1994
1994-03-23,True,Croatia,0,2,L,Spain,Croatia,0,2,1994
1994-06-02,False,Finland,2,1,W,Finland,Spain,1,2,1994
1994-06-10,False,Canada,2,0,W,Canada,Spain,0,2,1994
1994-06-17,True,South Korea,2,2,D,Spain,South Korea,2,2,1994
1994-06-21,False,Germany,1,1,D,Germany,Spain,1,1,1994
1994-06-27,False,Bolivia,3,1,W,Bolivia,Spain,1,3,1994
1994-07-02,True,Switzerland,3,0,W,Spain,Switzerland,3,0,1994
1994-07-09,False,Italy,1,2,L,Italy,Spain,2,1,1994
1994-09-07,False,Cyprus,2,1,W,Cyprus,Spain,1,2,1994
1994-10-12,False,North Macedonia,2,0,W,North Macedonia,Spain,0,2,1994
1994-11-16,True,Denmark,3,0,W,Spain,Denmark,3,0,1994
1994-11-30,True,Finland,2,0,W,Spain,Finland,2,0,1994
1994-12-17,False,Belgium,4,1,W,Belgium,Spain,1,4,1994
1995-01-18,True,Uruguay,2,2,D,Spain,Uruguay,2,2,1995
1995-02-22,True,Germany,0,0,D,Spain,Germany,0,0,1995
1995-03-29,True,Belgium,1,1,D,Spain,Belgium,1,1,1995
1995-04-26,False,Armenia,2,0,W,Armenia,Spain,0,2,1995
1995-06-07,True,Armenia,1,0,W,Spain,Armenia,1,0,1995
1995-09-06,True,Cyprus,6,0,W,Spain,Cyprus,6,0,1995
1995-09-20,True,Argentina,2,1,W,Spain,Argentina,2,1,1995
1995-10-11,False,Denmark,1,1,D,Denmark,Spain,1,1,1995
1995-11-15,True,North Macedonia,3,0,W,Spain,North Macedonia,3,0,1995
1996-02-07,True,Norway,1,0,W,Spain,Norway,1,0,1996
1996-04-24,False,Norway,0,0,D,Norway,Spain,0,0,1996
1996-06-09,True,Bulgaria,1,1,D,Spain,Bulgaria,1,1,1996
1996-06-15,False,France,1,1,D,France,Spain,1,1,1996
1996-06-18,False,Romania,2,1,W,Romania,Spain,1,2,1996
1996-06-22,False,England,0,0,D,England,Spain,0,0,1996
1996-09-04,False,Faroe Islands,6,2,W,Faroe Islands,Spain,2,6,1996
1996-10-09,False,Czech Republic,0,0,D,Czech Republic,Spain,0,0,1996
1996-11-13,True,Slovakia,4,1,W,Spain,Slovakia,4,1,1996
1996-12-14,True,Serbia,2,0,W,Spain,Serbia,2,0,1996
1996-12-18,False,Malta,3,0,W,Malta,Spain,0,3,1996
1997-02-12,True,Malta,4,0,W,Spain,Malta,4,0,1997
1997-04-30,False,Serbia,1,1,D,Serbia,Spain,1,1,1997
1997-06-08,True,Czech Republic,1,0,W,Spain,Czech Republic,1,0,1997
1997-09-24,False,Slovakia,2,1,W,Slovakia,Spain,1,2,1997
1997-10-11,True,Faroe Islands,3,1,W,Spain,Faroe Islands,3,1,1997
1997-11-19,True,Romania,1,1,D,Spain,Romania,1,1,1997
1998-01-28,False,France,0,1,L,France,Spain,1,0,1998
1998-03-25,True,Sweden,4,0,W,Spain,Sweden,4,0,1998
1998-06-03,True,Northern Ireland,4,1,W,Spain,Northern Ireland,4,1,1998
1998-06-13,True,Nigeria,2,3,L,Spain,Nigeria,2,3,1998
1998-06-19,True,Paraguay,0,0,D,Spain,Paraguay,0,0,1998
1998-06-24,True,Bulgaria,6,1,W,Spain,Bulgaria,6,1,1998
1998-09-05,False,Cyprus,2,3,L,Cyprus,Spain,3,2,1998
1998-09-23,True,Russia,1,0,W,Spain,Russia,1,0,1998
1998-10-14,False,Israel,2,1,W,Israel,Spain,1,2,1998
1998-11-18,False,Italy,2,2,D,Italy,Spain,2,2,1998
1999-03-27,True,Austria,9,0,W,Spain,Austria,9,0,1999
1999-03-31,False,San Marino,6,0,W,San Marino,Spain,0,6,1999
1999-05-05,True,Croatia,3,1,W,Spain,Croatia,3,1,1999
1999-06-05,True,San Marino,9,0,W,Spain,San Marino,9,0,1999
1999-08-18,False,Poland,2,1,W,Poland,Spain,1,2,1999
1999-09-04,False,Austria,3,1,W,Austria,Spain,1,3,1999
1999-09-08,True,Cyprus,8,0,W,Spain,Cyprus,8,0,1999
1999-10-10,True,Israel,3,0,W,Spain,Israel,3,0,1999
1999-11-13,True,Brazil,0,0,D,Spain,Brazil,0,0,1999
1999-11-17,True,Argentina,0,2,L,Spain,Argentina,0,2,1999
2000-01-26,True,Poland,3,0,W,Spain,Poland,3,0,2000
2000-02-23,False,Croatia,0,0,D,Croatia,Spain,0,0,2000
2000-03-29,True,Italy,2,0,W,Spain,Italy,2,0,2000
2000-06-03,False,Sweden,1,1,D,Sweden,Spain,1,1,2000
2000-06-07,False,Luxembourg,1,0,W,Luxembourg,Spain,0,1,2000
2000-06-13,True,Norway,0,1,L,Spain,Norway,0,1,2000
2000-06-18,False,Slovenia,2,1,W,Slovenia,Spain,1,2,2000
2000-06-21,False,Serbia,4,3,W,Serbia,Spain,3,4,2000
2000-06-25,True,France,1,2,L,Spain,France,1,2,2000
2000-08-16,False,Germany,1,4,L,Germany,Spain,4,1,2000
2000-09-02,False,Bosnia and Herzegovina,2,1,W,Bosnia and Herzegovina,Spain,1,2,2000
2000-10-07,True,Israel,2,0,W,Spain,Israel,2,0,2000
2000-10-11,False,Austria,1,1,D,Austria,Spain,1,1,2000
2000-11-15,True,Netherlands,1,2,L,Spain,Netherlands,1,2,2000
2001-02-28,False,England,0,3,L,England,Spain,3,0,2001
2001-03-24,True,Liechtenstein,5,0,W,Spain,Liechtenstein,5,0,2001
2001-03-28,True,France,2,1,W,Spain,France,2,1,2001
2001-04-25,True,Japan,1,0,W,Spain,Japan,1,0,2001
2001-06-02,True,Bosnia and Herzegovina,4,1,W,Spain,Bosnia and Herzegovina,4,1,2001
2001-06-06,False,Israel,1,1,D,Israel,Spain,1,1,2001
2001-09-01,True,Austria,4,0,W,Spain,Austria,4,0,2001
2001-09-05,False,Liechtenstein,2,0,W,Liechtenstein,Spain,0,2,2001
2001-11-14,True,Mexico,1,0,W,Spain,Mexico,1,0,2001
2002-02-13,True,Portugal,1,1,D,Spain,Portugal,1,1,2002
2002-03-27,False,Netherlands,0,1,L,Netherlands,Spain,1,0,2002
2002-04-17,False,Northern Ireland,5,0,W,Northern Ireland,Spain,0,5,2002
2002-06-02,True,Slovenia,3,1,W,Spain,Slovenia,3,1,2002
2002-06-07,True,Paraguay,3,1,W,Spain,Paraguay,3,1,2002
2002-06-12,False,South Africa,3,2,W,South Africa,Spain,2,3,2002
2002-06-16,True,Republic of Ireland,1,1,D,Spain,Republic of Ireland,1,1,2002
2002-06-22,False,South Korea,0,0,D,South Korea,Spain,0,0,2002
2002-08-21,False,Hungary,1,1,D,Hungary,Spain,1,1,2002
2002-09-07,False,Greece,2,0,W,Greece,Spain,0,2,2002
2002-10-12,True,Northern Ireland,3,0,W,Spain,Northern Ireland,3,0,2002
2002-10-16,True,Paraguay,0,0,D,Spain,Paraguay,0,0,2002
2002-11-20,True,Bulgaria,1,0,W,Spain,Bulgaria,1,0,2002
2003-02-12,True,Germany,3,1,W,Spain,Germany,3,1,2003
2003-03-29,False,Ukraine,2,2,D,Ukraine,Spain,2,2,2003
2003-04-02,True,Armenia,3,0,W,Spain,Armenia,3,0,2003
2003-04-30,True,Ecuador,4,0,W,Spain,Ecuador,4,0,2003
2003-06-07,True,Greece,0,1,L,Spain,Greece,0,1,2003
2003-06-11,False,Northern Ireland,0,0,D,Northern Ireland,Spain,0,0,2003
2003-09-06,False,Portugal,3,0,W,Portugal,Spain,0,3,2003
2003-09-10,True,Ukraine,2,1,W,Spain,Ukraine,2,1,2003
2003-10-11,False,Armenia,4,0,W,Armenia,Spain,0,4,2003
2003-11-15,True,Norway,2,1,W,Spain,Norway,2,1,2003
2003-11-19,False,Norway,3,0,W,Norway,Spain,0,3,2003
2004-02-18,True,Peru,2,1,W,Spain,Peru,2,1,2004
2004-03-31,True,Denmark,2,0,W,Spain,Denmark,2,0,2004
2004-04-28,False,Italy,1,1,D,Italy,Spain,1,1,2004
2004-06-05,True,Andorra,4,0,W,Spain,Andorra,4,0,2004
2004-06-12,True,Russia,1,0,W,Spain,Russia,1,0,2004
2004-06-16,False,Greece,1,1,D,Greece,Spain,1,1,2004
2004-06-20,False,Portugal,0,1,L,Portugal,Spain,1,0,2004
2004-08-18,True,Venezuela,3,2,W,Spain,Venezuela,3,2,2004
2004-09-03,True,Scotland,1,1,D,Spain,Scotland,1,1,2004
2004-09-08,False,Bosnia and Herzegovina,1,1,D,Bosnia and Herzegovina,Spain,1,1,2004
2004-10-09,True,Belgium,2,0,W,Spain,Belgium,2,0,2004
2004-10-13,False,Lithuania,0,0,D,Lithuania,Spain,0,0,2004
2004-11-17,True,England,1,0,W,Spain,England,1,0,2004
2005-02-09,True,San Marino,5,0,W,Spain,San Marino,5,0,2005
2005-03-26,True,China PR,3,0,W,Spain,China PR,3,0,2005
2005-03-30,False,Serbia,0,0,D,Serbia,Spain,0,0,2005
2005-06-04,True,Lithuania,1,0,W,Spain,Lithuania,1,0,2005
2005-06-08,True,Bosnia and Herzegovina,1,1,D,Spain,Bosnia and Herzegovina,1,1,2005
2005-08-17,True,Uruguay,2,0,W,Spain,Uruguay,2,0,2005
2005-09-03,True,Canada,2,1,W,Spain,Canada,2,1,2005
2005-09-07,True,Serbia,1,1,D,Spain,Serbia,1,1,2005
2005-10-08,False,Belgium,2,0,W,Belgium,Spain,0,2,2005
2005-10-12,False,San Marino,6,0,W,San Marino,Spain,0,6,2005
2005-11-12,True,Slovakia,5,1,W,Spain,Slovakia,5,1,2005
2005-11-16,False,Slovakia,1,1,D,Slovakia,Spain,1,1,2005
2006-03-01,True,Ivory Coast,3,2,W,Spain,Ivory Coast,3,2,2006
2006-05-27,True,Russia,0,0,D,Spain,Russia,0,0,2006
2006-06-03,True,Egypt,2,0,W,Spain,Egypt,2,0,2006
2006-06-07,True,Croatia,2,1,W,Spain,Croatia,2,1,2006
2006-06-14,True,Ukraine,4,0,W,Spain,Ukraine,4,0,2006
2006-06-19,True,Tunisia,3,1,W,Spain,Tunisia,3,1,2006
2006-06-23,False,Saudi Arabia,1,0,W,Saudi Arabia,Spain,0,1,2006
2006-06-27,True,France,1,3,L,Spain,France,1,3,2006
2006-08-15,False,Iceland,0,0,D,Iceland,Spain,0,0,2006
2006-09-02,True,Liechtenstein,4,0,W,Spain,Liechtenstein,4,0,2006
2006-09-06,False,Northern Ireland,2,3,L,Northern Ireland,Spain,3,2,2006
2006-10-07,False,Sweden,0,2,L,Sweden,Spain,2,0,2006
2006-10-11,True,Argentina,2,1,W,Spain,Argentina,2,1,2006
2006-11-15,True,Romania,0,1,L,Spain,Romania,0,1,2006
2007-02-07,False,England,1,0,W,England,Spain,0,1,2007
2007-03-24,True,Denmark,2,1,W,Spain,Denmark,2,1,2007
2007-03-28,True,Iceland,1,0,W,Spain,Iceland,1,0,2007
2007-06-02,False,Latvia,2,0,W,Latvia,Spain,0,2,2007
2007-06-06,False,Liechtenstein,2,0,W,Liechtenstein,Spain,0,2,2007
2007-08-22,False,Greece,3,2,W,Greece,Spain,2,3,2007
2007-09-08,False,Iceland,1,1,D,Iceland,Spain,1,1,2007
2007-09-12,True,Latvia,2,0,W,Spain,Latvia,2,0,2007
2007-10-13,False,Denmark,3,1,W,Denmark,Spain,1,3,2007
2007-10-17,False,Finland,0,0,D,Finland,Spain,0,0,2007
2007-11-17,True,Sweden,3,0,W,Spain,Sweden,3,0,2007
